Fast movement, end-to-end 2.5s
Good movement without issues, obviously the trolley can't get end to end in this time frame
102758,129,7828,7249,546,579,T,-5629,6500
102805,139,8434,6989,606,1445,T,-5398,6500
102824,144,8738,6888,303,1850,T,-5305,6500
102850,149,9041,6752,303,2289,T,-5167,6500
102950,153,9284,6259,242,3025,N,-4670,6500
102962,163,9891,6207,606,3684,N,-4613,6500
102975,168,10194,6144,303,4050,N,-4459,6500
103005,178,10801,6018,606,4783,N,-3857,6500
103025,182,11044,5945,242,5099,N,-3478,6500
103075,192,11651,5795,606,5856,N,-2489,6500
103105,197,11954,5729,303,6225,N,-1895,6500
103128,202,12257,5691,303,6566,N,-1441,6500
103153,206,12500,5661,242,6839,N,-938,6500
103256,216,13107,5680,606,7427,N,1326,6500
103261,221,13410,5687,303,7723,N,1413,6500
103266,226,13714,5694,303,8020,N,1522,6500
103274,230,13956,5706,242,8250,N,1670,6500
103306,235,14260,5770,303,8490,N,2322,6500
103325,240,14563,5818,303,8745,N,2710,6500
103357,245,14867,5914,303,8953,N,3325,6500
103406,255,15474,6101,606,9373,N,4321,6500
103431,250,15170,6216,303,8954,N,4810,6500
103471,245,14867,6424,303,8443,N,5645,6500
103487,240,14563,6517,303,8046,N,5943,6500
103525,235,14260,6756,303,7504,N,6498,6500
103554,226,13714,6945,546,6769,N,6498,6500
103575,221,13410,7081,303,6329,N,6498,6500
103606,216,13107,7283,303,5824,N,6498,6500
103625,211,12803,7406,303,5397,N,6498,6500
103649,206,12500,7562,303,4938,N,6498,6500
103674,202,12257,7724,242,4533,N,6498,6500
103725,192,11651,8056,606,3595,N,6498,6500
103769,187,11347,8342,303,3005,N,6498,6500
103775,182,11044,8381,303,2663,T,6498,6500
103805,178,10801,8576,242,2225,T,6430,6500
103824,173,10498,8697,303,1801,T,6344,6500
103849,168,10194,8854,303,1340,T,6211,6500
103874,163,9891,9008,303,883,T,6088,6500
103924,158,9587,9306,303,281,T,5839,6500
103949,149,9041,9451,546,409,T,5714,6500
103974,144,8738,9592,303,853,T,5590,6500
104024,139,8434,9866,303,1431,T,5347,6500
104077,129,7828,10142,606,2313,T,5079,6500
104082,125,7585,10166,242,2580,T,5056,6500
104106,120,7281,10286,303,3004,N,4935,6500
104124,115,6978,10374,303,3395,N,4842,6500
104149,110,6675,10490,303,3814,N,4352,6500
104281,101,6128,10892,546,4763,N,1730,6500
104286,91,5522,10900,606,5377,N,1624,6500
104306,81,4915,10929,606,6013,N,1232,6500
104350,72,4369,10964,546,6594,N,346,6500
104381,67,4065,10963,303,6897,N,-489,6500
104407,62,3762,10945,303,7182,N,-979,6500
104437,57,3458,10907,303,7448,N,-1598,6500
104452,52,3155,10882,303,7726,N,-1876,6500
104487,48,2912,10804,242,7891,N,-2599,6500
104512,43,2609,10733,303,8123,N,-3103,6500
104549,38,2305,10605,303,8299,N,-3835,6500
104577,33,2002,10490,303,8487,N,-4393,6500
104607,4,242,10350,1759,10107,N,-4996,6500
104650,14,849,10117,606,9267,N,-5830,6500
104675,19,1152,9965,303,8812,N,-6364,6500
104707,24,1456,9757,303,8300,N,-6498,6500
104725,28,1699,9640,242,7940,N,-6498,6500
104774,38,2305,9322,606,7016,N,-6498,6500
104807,43,2609,9107,303,6497,N,-6498,6500
